,year,rank,title,artist
95,1948,5 (5),My Happiness,"Jon and Sondra Steele
"
96,1948,6 (6),"You Can't Be True, Dear",Ken Griffin
97,1948,7 (7),Little White Lies,Dick Haymes
98,1948,8 (8),You Call Everybody Darlin',Al Trace
99,1948,9 (9),My Happiness,The Pied Pipers
100,1948,10 (10),I'm Looking Over a Four Leaf Clover,Art Mooney
101,1948,11 (11),It's Magic,Doris Day
102,1948,12 (12),Maybe You'll Be There,Gordon Jenkins
103,1948,13 (13),Ballerina,Vaughn Monroe
104,1948,14 (14),Nature Boy,King Cole
105,1948,15 (15),Woody Woodpecker,Kay Kyser
106,1948,16 (16),Love Somebody,Doris Day
107,1948,17 (17),Now Is the Hour,Gracie Fields
108,1948,18 (18),Beg Your Pardon,Francis Craig
109,1948,19 (19),"You Can't Be True, Dear",Ken Griffin
110,1948,20 (20),"""Toolie Oolie Doolie""",The Andrews Sisters
111,1948,21 (21),Buttons and Bows,Dinah Shore
112,1948,22 (22),"""Golden Earrings""",Peggy Lee
113,1948,23 (23),Baby Face,Art Mooney
114,1948,23 (23),"""Too Fat Polka""",Arthur Godfrey
115,1948,24 (25),Because,Perry Como
116,1948,24 (25),My Happiness,Ella Fitzgerald
117,1948,25 (27),Serenade of the Bells,Sammy Kaye
118,1948,26 (28),"""Until""",Tommy Dorsey
119,1948,27 (29),William Tell Overture,Spike Jones
120,1948,28 (30),Beg Your Pardon,Frankie Carle
121,1948,29 (31),St. Louis Blues March,Tex Beneke
122,1948,29 (31),Underneath the Arches,Primo Scala
123,1948,30 (33),(I'd Like to Get You on a) Slow Boat to China,Kay Kyser
124,1948,30 (33),Woody Woodpecker,Mel Blanc
125,1948,31 (35),"""I'll Dance at Your Wedding""",Ray Noble
126,1948,32 (36),"""The Dicky-Bird Song""",Freddy Martin
127,1948,33 (37),I'm Looking Over a Four Leaf Clover,Russ Morgan
128,1948,34 (38),"""How Soon""",Vaughn Monroe
129,1948,35 (39),Serenade of the Bells,Jo Stafford
130,1949,,,
131,1949,1,Riders in the Sky,Vaughn Monroe
132,1949,2,That Lucky Old Sun,Frankie Laine
133,1949,3,You're Breaking My Heart,Vic Damone
134,1949,4,Some Enchanted Evening,Perry Como
135,1949,5,Slippin' Around,Jimmy Wakely
136,1949,6,"I Can Dream, Can't I?",The Andrews Sisters
137,1949,7,Cruising Down the River,Russ Morgan Orchestra
138,1949,8,A Little Bird Told Me,Evelyn Knight
139,1949,9,Mule Train,Frankie Laine
140,1949,10,Jealous Heart,Al Morgan
141,1949,11,Cruising Down the River,Blue Barron Orchestra
142,1949,12,Someday,Vaughn Monroe
143,1949,13,Again,Gordon Jenkins Orchestra
144,1949,14,Forever and Ever,Russ Morgan
145,1949,15,Forever and Ever,Perry Como
146,1949,16,"Don't Cry, Joe",Gordon Jenkins Orchestra
147,1949,17,Room Full of Roses,Sammy Kaye
148,1949,18,Far Away Places,Bing Crosby
149,1949,19,Buttons and Bows,Dinah Shore
150,1949,20,Galway Bay,Bing Crosby
151,1949,21,Red Roses for a Blue Lady,Vaughn Monroe
152,1949,22,"""So Tired""",Russ Morgan
153,1949,23,Powder Your Face with Sunshine,Evelyn Knight
154,1949,24,"Baby, It's Cold Outside",Margaret Whiting
155,1949,25,"""Whispering Hope""",Jo Stafford
156,1949,26,"""Maybe It's Because""",Dick Haymes
157,1949,27,Careless Hands,Sammy Kaye Orchestra
158,1949,28,'A' You're Adorable,Perry Como
159,1949,29,The Hucklebuck,Tommy Dorsey Orchestra
160,1949,30,I Don't See Me in Your Eyes Anymore,Gordon Jenkins Orchestra
161,1950,,,
162,1950,1,Goodnight Irene,Gordon Jenkins
163,1950,2,Mona Lisa,Nat King Cole
164,1950,3,Third Man Theme,Anton Karas
165,1950,4,Sam's Song,Gary
166,1950,5,Play a Simple Melody,
167,1950,6,"Music, Music, Music",Teresa Brewer
168,1950,7,Third Man Theme,Guy Lombardo
169,1950,8,Chattanoogie Shoe Shine Boy,Red Foley
170,1950,9,Harbor Lights,Sammy Kaye
171,1950,10,It Isn't Fair,Sammy Kaye
172,1950,11,If I Knew You Were Coming I'd have Baked a Cake,Eileen Barton
173,1950,12,Bonaparte's Retreat,Kay Starr
174,1950,13,"Tzena, Tzena, Tzena",Gordon Jenkins
175,1950,14,There's No Tomorrow,Tony Martin
176,1950,15,The Thing,Phil Harris
177,1950,16,Sentimental Me,Ames Brothers
178,1950,17,I Wanna Be Loved,Andrews Sisters
179,1950,18,Tennessee Waltz,Patti Page
180,1950,19,"I Can Dream, Can't I",Andrews Sisters
181,1950,20,I'll Never Be Free,Kay Starr
182,1950,21,All My Love,Patti Page
183,1950,22,My Foolish Heart,Gordon Jenkins
184,1950,23,Rag Mop,Ames Brothers
185,1950,24,Bewitched,Bill Snyder
186,1950,25,Hoop-Dee-Doo,Perry Como
187,1950,26,Bewitched,Gordon Jenkins
188,1950,27,Can Anyone Explain?,Ames Brothers
189,1950,28,My Foolish Heart,Billy Eckstine
190,1950,29,Dear Hearts and Gentle People,Bing Crosby
191,1950,30,The Cry of the Wild Goose,Frankie Laine
192,1951,,,
193,1951,1,Too Young,Nat King Cole
194,1951,2,Because of You,Tony Bennett
195,1951,3,How High the Moon,Les Paul and Mary Ford
196,1951,4,Come On-a My House,Rosemary Clooney
197,1951,5,Be My Love,Mario Lanza
198,1951,6,On Top of Old Smoky,The Weavers
199,1951,7,"Cold, Cold Heart",Tony Bennett
200,1951,8,If,Perry Como
201,1951,9,The Loveliest Night of the Year,Mario Lanza
202,1951,10,Tennessee Waltz,Patti Page
203,1951,11,Jezebel,Frankie Laine
204,1951,12,I Get Ideas,Tony Martin
205,1951,13,Mockin' Bird Hill,Les Paul and Mary Ford
206,1951,14,Mockin' Bird Hill,Patti Page
207,1951,15,My Heart Cries for You,Guy Mitchell
208,1951,16,(It's No) Sin,Eddy Howard
209,1951,17,"""Sound Off""",Vaughn Monroe
210,1951,18,Sweet Violets,Dinah Shore
211,1951,19,The World Is Waiting for the Sunrise,Les Paul and Mary Ford
212,1951,20,"My Truly, Truly Fair",Guy Mitchell
213,1951,21,(It's No) Sin,The Four Aces
214,1951,22,Aba Daba Honeymoon,Debbie Reynolds
215,1951,23,"Rose, Rose, I Love You",Frankie Laine
216,1951,24,Down Yonder,Del Wood
217,1951,25,I Apologize,Billy Eckstine
218,1951,26,"Would I Love You (Love You, Love You)",Patti Page
219,1951,27,You're Just in Love,Perry Como
220,1951,28,Undecided,Ames Brothers
221,1951,29,The Thing,Phil Harris
222,1951,30,Because of You,Les Baxter
223,1952,,,
224,1952,1,Blue Tango,Leroy Anderson
225,1952,2,Wheel of Fortune,Kay Starr
226,1952,3,Cry,Johnnie Ray
227,1952,4,You Belong to Me,Jo Stafford
228,1952,5,"Auf Wiederseh'n, Sweetheart",Vera Lynn
229,1952,6,Half as Much,Rosemary Clooney
230,1952,7,Wish You Were Here,Eddie Fisher
231,1952,8,I Went to Your Wedding,Patti Page
232,1952,9,Here in My Heart,Al Martino
233,1952,10,Delicado,Percy Faith
234,1952,11,Kiss of Fire,Georgia Gibbs
235,1952,12,Anytime,Eddie Fisher
236,1952,13,Tell Me Why,The Four Aces
237,1952,14,The Blacksmith Blues,Ella Mae Morse
238,1952,15,Jambalaya (On the Bayou),Jo Stafford
239,1952,16,Botch-a-Me (Ba-Ba-Baciami Piccina),Rosemary Clooney
240,1952,17,A Guy Is a Guy,Doris Day
241,1952,18,The Little White Cloud That Cried,Johnnie Ray
242,1952,19,High Noon,Frankie Laine
243,1952,20,I'm Yours,Eddie Fisher
244,1952,21,The Glow-Worm,The Mills Brothers
245,1952,22,It's in the Book,Johnny Standley
246,1952,23,Slow Poke,Pee Wee King
247,1952,24,Walkin' My Baby Back Home,Johnnie Ray
248,1952,25,Meet Mister Callaghan,Les Paul
249,1952,26,I'm Yours,Don Cornell
